osm_id,katotth,koatuu,name,name:uk,place,population,postal_code,old_name,old_name:uk,region,rayon,hromada
26150422,UA80000000000093317,8000000000,Київ,Київ,city,2952301,,,,Київ,,
26150436,UA74100390010054825,7410100000,Чернігів,Чернігів,city,293969,14000-14499,,,Чернігівська область,Чернігівський район,Чернігівська міська громада
26150437,UA51100270010076757,5110100000,Одеса,Одеса,city,1008852,,,,Одеська область,Одеський район,Одеська міська громада
26150791,UA46060250010015970,4610100000,Львів,Львів,city,724822,79000,,,Львівська область,Львівський район,Львівська міська громада
27121360,UA53080370010073240,5310100000,Полтава,Полтава,city,297600,36000-36499,,,Полтавська область,Полтавський район,Полтавська міська громада
27122612,UA23060070010069526,2310100000,Запоріжжя,Запоріжжя,city,706116,,,,Запорізька область,Запорізький район,Запорізька міська громада
27212295,UA01080150010090810,110900000,Евпатория,Євпаторія,city,108149,97400-97490,,,Автономна Республіка Крим,Евпаторийский городской совет,
29980666,UA14140050010029262,1412300000,Маріуполь,Маріуполь,city,453623,87500-87590,,,Донецька область,Маріупольський район,Маріупольська міська громада
39682896,UA14080030010048113,1410100000,Донецьк,Донецьк,city,929063,83000-83490,,,Донецька область,,
60410873,UA48060150010035747,4810100000,Миколаїв,Миколаїв,city,480080,54000-54490,,,Миколаївська область,Миколаївський район,Миколаївська міська громада
111353560,UA21100230010016545,2110100000,Ужгород,Ужгород,city,114867,88000-88018,,,Закарпатська область,Ужгородський район,Ужгородська міська громада
146541158,UA56060470010041018,5610100000,Рівне,Рівне,city,245323,33000-33499,,,Рівненська область,Рівненський район,Рівненська міська громада
146570870,UA07080170010083384,710100000,Луцьк,Луцьк,city,217502,43000-43499,,,Волинська область,Луцький район,Луцька міська громада
249748477,UA05020030010063857,510100000,Вінниця,Вінниця,city,373302,21000-21499,,,Вінницька область,Вінницький район,Вінницька міська громада
251073791,UA85000000000065278,8500000000,Севастополь,Севастополь,city,522057,,,,Севастополь,,
251223522,UA68040470010096613,6810100000,Хмельницький,Хмельницький,city,269308,29000-29499,,,Хмельницька область,Хмельницький район,Хмельницька міська громада
252098339,UA18040190010057814,1810100000,Житомир,Житомир,city,267610,10000-10499,,,Житомирська область,Житомирський район,Житомирська міська громада
252176252,UA01160330010074014,110100000,Симферополь,Сімферополь,city,340540,,,,Автономна Республіка Крим,Симферопольский городской совет,
253874196,UA44060010010012753,4410100000,Луганськ,Луганськ,city,414509,91000-91479,,Ворошиловград,Луганська область,,
253877159,UA44020010010037242,4411200000,Алчевськ,Алчевськ,city,112013,94200-94299,,,Луганська область,,
255259998,UA32020010010081183,3210300000,Біла Церква,Біла Церква,city,209815,09100-09117,,,Київська область,Білоцерківський район,Білоцерківська міська громада
255466573,UA65100150010064384,6510100000,Херсон,Херсон,city,294941,73000-73480,,,Херсонська область,Херсонський район,Херсонська міська громада
256613740,UA14060030010082815,1410600000,Горлівка,Горлівка,city,289872,84646,,,Донецька область,,Центрально-Міський район
256613930,UA14080070010078220,1413500000,Макіївка,Макіївка,city,347227,86100-86180,,,Донецька область,,Центрально-Міський район
256613986,UA14120210010032554,1414100000,Слов’янськ,Слов’янськ,city,114437,84100-84129,,,Донецька область,Краматорський район,Слов'янська міська громада
258057686,UA23020050010019935,2310400000,Бердянськ,Бердянськ,city,116450,71100-71127,,,Запорізька область,Бердянський район,Бердянська міська громада
265056942,UA71080490010015879,7110100000,Черкаси,Черкаси,city,274343,18000-18499,,,Черкаська область,Черкаський район,Черкаська міська громада
265057614,UA59080270010036634,5910100000,Суми,Суми,city,267633,40000-40489,,,Сумська область,Сумський район,Сумська міська громада
265058149,UA53020110010031694,5310400000,Кременчук,Кременчук,city,226400,39600-39689,,,Полтавська область,Кременчуцький район,Кременчуцька міська громада
265058407,UA12080050010010114,1211600000,Нікополь,Нікополь,city,119939,53200-53239,,,Дніпропетровська область,Нікопольський район,Нікопольська міська громада
265059962,UA12120070010055676,1212400000,Павлоград,Павлоград,city,110609,51400-51429,,,Дніпропетровська область,Павлоградський район,Павлоградська міська громада
268081010,UA68020110010097898,6810400000,Кам’янець-Подільський,Кам’янець-Подільський,city,101235,32300-32315,,,Хмельницька область,Кам’янець-Подільський район,Кам'янець-Подільська міська громада
268459612,UA26040190010045761,2610100000,Івано-Франківськ,Івано-Франківськ,city,230929,76000-76490,,,Івано-Франківська область,Івано-Франківський район,Івано-Франківська міська громада
274929523,UA14120090010038661,1412900000,Краматорськ,Краматорськ,city,159445,84300-84390,,,Донецька область,Краматорський район,Краматорська міська громада
337579368,UA44120110010072887,4412900000,Сєвєродонецьк,Сєвєродонецьк,city,110612,93400-93480,,,Луганська область,Сєвєродонецький район,Сєвєродонецька міська громада
337582086,UA44120050010021900,4411800000,Лисичанськ,Лисичанськ,city,105682,93100,,,Луганська область,Сєвєродонецький район,Лисичанська міська громада
337597818,UA12020010010037010,1210100000,Дніпро,Дніпро,city,1080486,49000,,Дніпропетровськ,Дніпропетровська область,Дніпровський район,Дніпровська міська громада
428339505,UA73060610010033137,7310100000,Чернівці,Чернівці,city,266650,,,,Чернівецька область,Чернівецький район,Чернівецька міська громада
1532708613,UA12060170010065850,1211000000,Кривий Ріг,Кривий Ріг,city,656700,50000-50479,,,Дніпропетровська область,Криворізький район,Криворізька міська громада
1643945522,UA61040490010069060,6110100000,Тернопіль,Тернопіль,city,217326,46000-46499,,,Тернопільська область,Тернопільський район,Тернопільська міська громада
1685829423,UA63120270010096107,6310100000,Харків,Харків,city,1447652,61000-61499,,,Харківська область,Харківський район,Харківська міська громада
1756064253,UA12040150010056523,1210400000,Кам’янське,Кам’янське,city,239237,51900-51989,,Дніпродзержинськ,Дніпропетровська область,Кам'янський район,Кам'янська міська громада
1756064266,UA23080070010092407,2310700000,Мелітополь,Мелітополь,city,156917,72300-72324,,,Запорізька область,Мелітопольський район,Мелітопольська міська громада
1830695012,UA01100210010057785,111200000,Керчь,Керч,city,151996,,,,Автономна Республіка Крим,городской округ Керчь,
3673183717,UA32060050010081797,3210600000,Бровари,Бровари,city,107384,7400,,,Київська область,Броварський район,Броварська міська громада
4126283179,UA35040210010019355,3510100000,Кропивницький,Кропивницький,city,234712,25000-25490,,Кіровоград,Кіровоградська область,Кропивницький район,Кропивницька міська громада
249635700,UA71060230330012918,7124683003,Хасанівка,Хасанівка,hamlet,6,20051,,,Черкаська область,Уманський район,Христинівська міська громада
252417662,UA71060230170042014,7124681503,Мала Іванівка,Мала Іванівка,hamlet,30,20022,,,Черкаська область,Уманський район,Христинівська міська громада
256613742,UA14060030090056220,1410640003,Федорівка,Федорівка,hamlet,74,84601,,,Донецька область,,Центрально-Міський район
256613748,UA14060030050092010,1410666701,Рясне,Рясне,hamlet,9,84694,,,Донецька область,,Центрально-Міський район
256613754,UA14060030080059486,1410691005,Ставки,Ставки,hamlet,34,84693,,,Донецька область,,Центрально-Міський район
256613815,UA14020110110082805,1411246507,Юр’ївка,Юр’ївка,hamlet,32,85296,,,Донецька область,Бахмутський район,Торецька міська громада
256613846,UA14060070080087399,1412046803,Петрівське,Петрівське,hamlet,84,86499,,,Донецька область,,
256613847,UA14060070100012693,1412046805,Путепровід,Путепровід,hamlet,67,86499,,,Донецька область,,
